word,difficulty_level
bed,1
big,1
blue,1
book,1
car,1
dog,1
fast,1
green,1
happy,1
house,1
algorithm,2
ball,2
bird,2
cat,2
chair,2
cup,2
dance,2
jump,2
rain,2
sun,2
adventure,3
apple,3
curious,3
diamond,3
enormous,3
hat,3
journey,3
moon,3
universe,3
velocity,3
candle,4
gravity,4
harmony,4
honey,4
infinite,4
lemon,4
magnificent,4
momentum,4
mysterious,4
quantum,4
banana,5
breathtaking,5
breeze,5
eclipse,5
elephant,5
galaxy,5
jelly,5
turtle,5
umbrella,5
violin,5
carrot,6
daisy,6
disparate,6
disproportionableness,6
disseminate,6
intricate,6
luminous,6
moonlight,6
paradox,6
penguin,6
benevolent,7
esoteric,7
extravagant,7
harmonious,7
idyllic,7
indistinguishableness,7
kangaroo,7
mango,7
nectar,7
opal,7
alchemy,8
belligerent,8
delectable,8
ephemeral,8
felicity,8
fireworks,8
flamingo,8
giraffe,8
hapless,8
nebula,8
aplomb,9
cacophony,9
effervescent,9
facetious,9
gossamer,9
igloo,9
ineffable,9
jubilant,9
jubilation,9
kaleidoscope,9
anfractuous,10
antediluvian,10
antiestablishmentarianism,10
callipygian,10
ebullient,10
extemporaneous,10
garrulous,10
grandiloquent,10
juxtapose,10
kaleidoscopic,10
