pk,entry,difficulty_level
1,adventure,3
2,alchemy,8
3,algorithm,2
4,anfractuous,10
5,antediluvian,10
6,antiestablishmentarianism,10
7,aplomb,9
8,apple,3
9,ball,2
10,banana,5
11,bed,1
12,belligerent,8
13,benevolent,7
14,big,1
15,bird,2
16,blue,1
17,book,1
18,breathtaking,5
19,breeze,5
20,cacophony,9
21,callipygian,10
22,candle,4
23,car,1
24,carrot,6
25,cat,2
26,chair,2
27,cup,2
28,curious,3
29,daisy,6
30,dance,2
31,delectable,8
32,diamond,3
33,disparate,6
34,disproportionableness,6
35,disseminate,6
36,dog,1
37,ebullient,10
38,eclipse,5
39,effervescent,9
40,elephant,5
41,enormous,3
42,ephemeral,8
43,esoteric,7
44,extemporaneous,10
45,extravagant,7
46,facetious,9
47,fast,1
48,felicity,8
49,fireworks,8
50,flamingo,8
51,galaxy,5
52,garrulous,10
53,giraffe,8
54,gossamer,9
55,grandiloquent,10
56,gravity,4
57,green,1
58,hapless,8
59,happy,1
60,harmonious,7
61,harmony,4
62,hat,3
63,honey,4
64,house,1
65,idyllic,7
66,igloo,9
67,indistinguishableness,7
68,ineffable,9
69,infinite,4
70,intricate,6
71,jelly,5
72,journey,3
73,jubilant,9
74,jubilation,9
75,jump,2
76,juxtapose,10
77,kaleidoscope,9
78,kaleidoscopic,10
79,kangaroo,7
80,labyrinthine,9
81,lemon,4
82,loquacious,10
83,love,1
84,luminous,6
85,magnificent,4
86,mango,7
87,mellifluous,10
88,mendacious,10
89,momentum,4
90,moon,3
91,moonlight,6
92,multifarious,10
93,mysterious,4
94,nebula,8
95,nectar,7
96,nefarious,8
97,nonchalant,9
98,obfuscate,9
99,obstreperous,10
100,opal,7
101,opulent,8
102,orchid,7
103,ostracize,10
104,palimpsest,10
105,paradox,6
106,pastiche,9
107,pebble,8
108,penguin,6
109,pernicious,8
110,perseverance,7
111,perspicacious,10
112,perspicuity,10
113,phantasmagoria,10
114,plenipotentiary,10
115,prodigious,8
116,propinquity,10
117,pulchritudinous,10
118,quantum,4
119,quasar,9
120,quintessential,8
121,quixotic,9
122,radiant,6
123,rain,2
124,rambunctious,9
125,raspberry,7
126,recalcitrant,9
127,red,1
128,resilience,7
129,resplendent,9
130,road,1
131,run,1
132,salmagundi,10
133,schadenfreude,10
134,serendipity,9
135,sesquipedalian,10
136,sisyphean,10
137,small,1
138,stardust,9
139,sun,2
140,sunflower,7
141,sycophant,10
142,symbiosis,9
143,symphony,6
144,synthesize,7
145,table,1
146,tergiversate,10
147,tesseract,10
148,transcendent,8
149,tree,1
150,truncate,8
151,turtle,5
152,twilight,6
153,ubiquitous,6
154,umbrella,5
155,universe,3
156,velocity,3
157,vicissitude,10
158,violin,5
159,vociferous,9
160,voracious,9
161,wanderlust,10
162,water,1
163,watermelon,8
164,whimsical,7
165,whisper,6
166,xenon,8
167,xenophobic,8
168,xylophone,9
169,yellowstone,10
170,yield,3
171,yogurt,6
172,yonder,8
173,zebra,7
174,zephyr,7
176,word,1
177,complicated,3
178,fostering,3
179,equip,5
180,entrepreneurial,5
181,adaptability,7
182,invaluable,5
183,teamwork,6
184,innovative,2
185,matric,10
186,revolutionize,8
187,hatred,5
188,there,1
189,vibrancy,9
190,resonant,6
191,enlightening,7
192,immersive,0
193,seamless,5
194,adaptable,6
195,resounding,7
196,unveiling,7
197,standout,0
198,exhilarating,7
199,unraveling,0
200,superposition,8
201,bridging,2
202,entanglement,8
203,shedding,4
204,unparalleled,6
205,heartfelt,7
206,meticulous,7
207,insightful,6
208,transformative,0
209,recitation,8
210,elucidation,8
211,dissect,8
212,unfold,6
213,unravelling,7
214,contemplative,8
215,intractable,8
216,seamlessly,5
217,Adaptable,6
218,redundancy,5
219,nonfunctional,9
220,speciality,6
221,populate,7
222,stability,3
223,collaboratively,3
224,bootstrap,6
225,celery,6
226,inconsistent,4
227,unpredictable,5
228,semaphore,8
229,sequentially,5
230,interleave,9
231,unfavorably,9
232,synchronization,5
233,increment,5
234,blocking,2
235,registrant,6
236,missing,2
237,fill,2
238,period,1
239,consultation,2
240,open,1
241,information,1
242,name,1
243,entry,1
244,date,1
245,else,0
246,setup,2
247,hospital,2
248,update,1
249,clearly,2
250,error,1
251,add,1
252,future,1
253,upon,0
254,stated,2
255,saying,1
256,become,1
257,correct,1
258,description,1
259,based,1
260,every,1
261,input,1
262,via,0
263,option,1
264,view,1
265,night,1
266,peak,2
267,patient,2
268,password,1
269,registered,1
270,correctly,2
271,time,1
272,account,1
273,concurrently,6
274,message,1
275,user,1
276,request,1
277,less,1
278,doctor,2
279,shown,1
280,logged,1
281,pending,3
282,critical,1
283,button,1
284,provide,1
285,availability,2
286,give,1
287,chemist,7
288,list,1
289,registration,1
290,functionality,3
291,following,1
292,figure,2
293,page,1
294,appointment,2
295,easily,1
296,per,0
297,system,1
298,profile,1
299,able,1
300,id,2
301,personal,1
302,reliability,3
303,create,1
304,match,1
305,added,1
306,form,1
307,diagram,3
308,desired,2
309,use,1
310,general,1
311,register,1
312,medical,1
313,response,1
314,enter,1
315,prescription,2
316,case,1
317,month,1
318,high,1
319,outage,6
320,save,1
321,visit,1
322,new,1
323,running,1
324,successfully,2
325,scale,1
326,role,1
327,lab,3
328,treatment,1
329,default,1
330,shall,0
331,currently,1
332,building,1
333,engineering,2
334,docker,10
335,used,1
336,machine,1
337,development,1
338,application,1
339,index,1
340,independently,3
341,source,1
342,help,1
343,multiple,1
344,framework,2
345,scraping,7
346,portfolio,2
347,designed,1
348,web,1
349,student,1
350,know,1
351,rest,1
352,git,6
353,computer,1
354,experience,1
355,engineer,3
356,bachelor,4
357,march,4
358,tech,2
359,worked,0
360,artificial,3
361,degree,1
362,mind,1
363,intelligence,2
364,fourth,2
365,communicate,3
366,prepared,2
367,lively,4
368,read,1
369,gateway,3
370,recent,1
371,us,1
372,came,1
373,made,1
374,profound,4
375,landscape,3
376,offering,2
377,expert,2
378,intersection,4
379,gift,1
380,world,1
381,actively,3
382,unique,1
383,depth,2
384,heart,1
385,bridged,2
386,advice,1
387,mood,3
388,practical,2
389,day,1
390,closed,2
391,throughout,1
392,event,1
393,article,1
394,stage,1
395,area,1
396,theory,2
397,privilege,4
398,milestone,5
399,realm,4
400,practice,1
401,close,1
402,dynamic,2
403,department,1
404,academic,2
405,exchange,1
406,ahead,2
407,provided,1
408,element,2
409,ever,1
410,focal,4
411,author,1
412,together,1
413,course,1
414,fusion,4
415,brought,1
416,potential,1
417,master,2
418,beacon,6
419,deputy,4
420,atmosphere,2
421,shah,9
422,entrepreneurship,0
423,advisor,4
424,flexible,2
425,yap,9
426,included,1
427,program,1
428,level,1
429,shaping,2
430,distinguished,4
431,frontier,5
432,commencement,5
433,ceremony,3
434,integration,2
435,knowledge,1
436,gap,3
437,exploration,3
438,light,1
439,lucky,3
440,forum,1
441,aspect,2
442,also,1
443,innovation,3
444,tapestry,6
445,proof,2
446,marking,2
447,unfolded,6
448,conclusion,3
449,anticipation,5
450,point,1
451,certificate,2
452,foundation,2
453,technology,1
454,panelist,8
455,arrival,3
456,quickly,1
457,faculty,2
458,vibrant,4
459,international,1
460,draw,2
461,global,1
462,exploring,2
463,exciting,2
464,seminar,3
465,interactive,2
466,key,1
467,tactics,4
468,await,5
469,cutting,2
470,age,1
471,put,1
472,focus,1
473,sum,2
474,engage,3
475,lie,3
476,organized,2
477,possible,1
478,turned,1
479,excitement,4
480,real,1
481,adaptive,4
482,vice,3
483,field,1
484,session,1
485,setting,1
486,theoretical,3
487,bin,1
488,convergence,4
489,testament,6
490,illuminating,7
491,digital,1
492,intellectual,3
493,turning,1
494,antal,0
495,professionalism,5
496,admirable,6
497,selflessness,8
498,tireless,7
499,devolution,8
500,forecasting,5
501,superfluous,7
502,relentlessly,7
503,deflation,8
504,proofreading,8
505,reliant,7
506,graciously,7
507,borrower,4
508,predictably,5
509,travesty,8
510,impediment,7
511,omnipotent,8
512,inflationary,7
513,emergent,6
514,devaluation,8
515,impractical,7
516,fanciful,8
517,consumable,8
518,inflate,7
